Occupation,Gender,Average weekly ordinary time cash earnings,Average weekly total cash earnings,Average weekly ordinary time hours paid for,Average weekly total hours paid for,Average hourly ordinary time cash earnings,Average hourly total cash earnings,Year
832 Packers and product assemblers,Females,1033.2,1142.5,37.6,40.3,27.5,28.1,2023
832 Packers and product assemblers,Males,1141.7,1337.7,37.8,41.6,30.2,31.7,2023
832 Packers and product assemblers,Persons,1114.2,1288.1,37.8,41.3,29.5,30.7,2023
839 Miscellaneous factory process workers,Females,1199,1276.3,36.5,37.9,32.9,33.6,2023
839 Miscellaneous factory process workers,Males,1297.3,1478.5,38.3,42.1,33.8,34.8,2023
839 Miscellaneous factory process workers,Persons,1288.6,1460.6,38.2,41.7,33.7,34.7,2023
842 Farm workers,Females,1069,1094.3,38.8,39.3,27.5,27.8,2023
842 Farm workers,Males,1258.1,1386.4,39.4,42.7,31.8,32.5,2023
842 Farm workers,Persons,1176.8,1260.9,39.1,41.3,30,30.5,2023
843 Forestry and garden workers,Females,1068,1073.8,38,38.2,28.2,28.2,2023
843 Forestry and garden workers,Males,1196.9,1220.7,38.4,38.8,31.2,31.4,2023
843 Forestry and garden workers,Persons,1185.7,1208,38.3,38.8,30.9,31.2,2023
851 Food preparation assistants,Females,1147.8,1253,38.1,40.4,30.1,31,2023
851 Food preparation assistants,Males,1284.5,1339.3,39.3,40.4,32.5,32.8,2023
851 Food preparation assistants,Persons,1211.8,1293.4,38.7,40.4,31.2,31.8,2023
891 Freight handlers and shelf fillers,Females,1356,1399.2,39.8,40.6,34,34.4,2023
891 Freight handlers and shelf fillers,Males,1299.3,1460.5,38.2,41.7,34.3,35.2,2023
891 Freight handlers and shelf fillers,Persons,1304.9,1454.5,38.4,41.6,34.2,35.1,2023
899 Miscellaneous labourers,Females,1227.3,1387.5,37.1,40,33.3,34.5,2023
899 Miscellaneous labourers,Males,1340.4,1492.5,38.6,41.5,34.7,35.6,2023
899 Miscellaneous labourers,Persons,1327.3,1480.3,38.4,41.3,34.6,35.5,2023
