ANZSCO Level,NFD Indicator 5,Code,ANZSCO Title,COVID Adjusted 3,Skill Level 4,Trend Data for Aug 2025 1,Qtr Change to Aug 2025 1,Qtr Change to Aug 2025 1,1 Year  Change to Aug 2025 1,1 Year  Change to Aug 2025 1,5 Year  Change to Aug 2025 1,5 Year  Change to Aug 2025 1,10 Year  Change to Aug 2025 1,10 Year  Change to Aug 2025 1,Share of National Emp 1,Share of Level 1 Group 1,Female Share 2024 4 Quarter Avg 2,Part Time Share 2024 4 Quarter Avg 2,Female Part Time Share 2024 4 Quarter Avg 2,Male Part Time Share 2024 4 Quarter Avg 2,Median Age 2024 2,Median Female Age 2024 2,Median Male Age 2024 2
4,N,1399,Other Specialist Managers,-,1,71.7818006923795,0.397220197743593,0.556450980017234,1.58417057319437,2.25672942306554,11.2072584997666,18.5015983515486,23.373334065199,48.2835662720108,0.489029781334708,3.76567771705801,44,8,13,4,45,43,46
2,N,14,"Hospitality, Retail and Service Managers",Y,-,571.247798695963,2.81560706165169,0.49532857271093,12.509906091569,2.23895788296327,,0.0,63.2724820677183,12.4558182251252,3.88842143961393,30.3242641493025,48,18,25,13,41,41,42
3,Y,140,"Hospitality, Retail and Service Managers nfd",-,-,0.175775094828143,-0.00434482918625856,-2.41218688606107,-0.0166980266182734,-8.67551089356756,0.00663791359818736,3.92457385769164,0.0757750948281428,75.7750948281428,<0.1,<0.1,-,-,-,-,-,-,-
4,Y,1400,"Hospitality, Retail and Service Managers nfd",-,2,0.175775094828143,-0.00434482918625856,-2.41218688606107,-0.0166980266182734,-8.67551089356756,0.00663791359818736,3.92457385769164,0.0757750948281428,75.7750948281428,<0.1,<0.1,-,-,-,-,-,-,-
3,N,141,Accommodation and Hospitality Managers,Y,-,106.186439957326,0.181368698112919,0.171094359881539,0.606566661617336,0.57450974573389,,0.0,-0.670912843860151,-0.627858379674091,0.722098839279442,5.58659242752937,52,22,29,14,39,40,39
4,Y,1410,Accommodation and Hospitality Managers nfd,-,2,0.963906876675352,0.0850270539515039,9.67448014541803,0.327023863616327,51.3475562875498,0.863906876675352,863.906876675352,0.863906876675352,863.906876675352,<0.1,0.0505666145430189,-,-,-,-,-,-,-
4,N,1411,Cafe and Restaurant Managers,-,2,63.6770204812292,-0.151630628518177,-0.237558879722309,-0.542103863443494,-0.84414708075736,-3.69552705247037,-5.48521198581942,-2.65187356602181,-3.99806691203487,0.433814129788013,3.34050044442906,57,23,30,15,38,39,38
4,N,1412,Caravan Park and Camping Ground Managers,-,2,3.07228754041311,0.0346127101524139,1.13944750792972,0.148563302988871,5.08130353359704,0.530708963007345,20.8810763407145,-0.87694888920766,-22.2055302293428,<0.1,0.161172394948806,53,4,-,-,51,47,51
4,N,1413,Hotel and Motel Managers,Y,2,19.6409074428938,0.0475781430773736,0.242828272568355,0.120183353122052,0.61567056923377,0.260716360919648,1.34527239600927,-2.24377809782182,-10.2527317271585,0.133808132136107,1.03036322280998,41,16,26,8,43,49,41
4,N,1414,Licensed Club Managers,-,2,7.35669932084411,0.0653589287622811,0.896391133148288,0.242696370341562,3.41153035822705,0.739204897797947,11.1704649908519,0.27529071027065,3.88751342295946,0.0501191809834261,0.385932902718885,36,12,14,11,36,37,36
4,N,1419,Other Accommodation and Hospitality Managers,-,2,10.8922591221509,0.260852098698525,2.45359902149449,1.05037172972082,10.6724623828628,3.80023741281986,53.5846838683505,3.26667324229612,42.8383247368046,0.0742059832069933,0.571408589211668,58,35,42,25,48,52,45
3,N,142,Retail Managers,-,-,252.94702817542,1.23039675436198,0.488802328005031,5.36789238173705,2.16815216053194,23.7837153045273,10.3785003832296,21.0420757271454,9.07357756054767,1.72011375009898,13.3078381075659,49,19,25,14,41,41,41
4,N,1421,Retail Managers,-,2,252.94702817542,1.23039675436198,0.488802328005031,5.36789238173705,2.16815216053194,23.7837153045273,10.3785003832296,21.0420757271454,9.07357756054767,1.72325894146902,13.2696167887767,49,19,25,14,41,41,41
